numero_barra,grupo_ejecucion,barra_origen_longitud,cortes_realizados,piezas_obtenidas,desperdicio_resultante
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
#5,1,12.0,"[np.float64(6.13), np.float64(5.33)]","[{'id_pedido': np.float64(2.0), 'longitud': np.float64(6.13)}, {'id_pedido': np.float64(3.0), 'longitud': np.float64(5.33)}]",0.54
